name,price,production_year,kilometeres_driven,fuel_capacity,fuel_type,thumbnail
Chevrolet Camaro,185 000 PLN,2016,53 000 km,6 162 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjRlY3Fxejh6N3VtazItT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.h5m5BTsivcXt6ksVErhkZqwwX01nPc06jM_C2hIUV4A/image;s=320x240
Chevrolet Camaro 3.6 V6 Coupe 2LT,105 000 PLN,2017,161 000 km,3 600 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImdyNHRiZmptaDFoZTEtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.0WCLEdWTyQObyMGDYNFLRJUannWrR5G62TUcAeoTdf0/image;s=320x240
Chevrolet Camaro,89 999 PLN,1989,35 000 km,5 666 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imx6ZW1icjhxMHlwZDEtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.RFbRMboZsrwws6N0u2v4L4XqAYJG9hlYd76ALToW48Q/image;s=320x240
Chevrolet Camaro,34 000 PLN,2014,93 966 km,3 600 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImszcTZwZnEwbjByaTMtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.YCVzptgby0seeo3T2G7ELeNVcDbV9Cz2NVxQFirCyrY/image;s=644x461
Chevrolet Camaro,101 900 PLN,2015,79 020 km,6 162 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImJqZGhza3d2OXRnMy1PVE9NT1RPUEwiLCJ3IjpbeyJmbiI6IndnNGducXA2eTFmLU9UT01PVE9QTCIsInMiOiIxNiIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.N_ndUCgzFzKSy0w_QDK82b_cyCEGY72FXTrgtg3TlpM/image;s=320x240
Chevrolet Camaro 3.6 V6 Coupe 2LT,59 000 PLN,2017,48 703 km,3 600 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Inc1YTJsOHlhdzE0bjMtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.2MIxUa7ZIXuVAMKqe-ay-DgByBDUUHM4zlWD02Ixj1U/image;s=644x461
Chevrolet Camaro 3.6 V6 Coupe 2LT,106 000 PLN,2016,100 500 km,3 600 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImNocXVxY3FpMHViMzMtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.x46vp8UMxVr477WBE0EiNb_K-xXmnsx5HGeIrS3-onw/image;s=320x240
Chevrolet Camaro,309 000 PLN,2017,23 854 km,6 162 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjFoMDZ1OHpyb2ZvdTEtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.fZPKtEWUjugVvhGtf2XJcC-J2pAFgxCTS3pirKOdtqo/image;s=320x240
Chevrolet Camaro Coupe 6.2 V8,229 900 PLN,2019,37 913 km,6 162 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImJsNTdtNzljM2t5ci1PVE9NT1RPUEwiLCJ3IjpbeyJmbiI6IndnNGducXA2eTFmLU9UT01PVE9QTCIsInMiOiIxNiIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.mSvD4eucj1QXAReymSaTvtgq13PPcDksxsjziUE188g/image;s=320x240
Chevrolet Camaro,184 000 PLN,2021,2 600 km,6 162 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Impwb2Vsamd1NHZzazEtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.6pRRKSvHjm2k9kKkXBA3ipaLOXjTaSSTWAITFaAIBl8/image;s=320x240
